osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,service,ref,access,tunnel,bridge,junction
5364665,Sonnenwendstraße,residential,30,5,False,False,7.088,,"LINESTRING (7.3828387 51.4857618, 7.3828037 51.4857019)",,,,,,
30386682,Auf der Linnert,residential,30,,False,True,7.078,,"LINESTRING (7.3828387 51.4857618, 7.3828786 51.4858204)",,,,,,
33578124,Steinsweg,secondary,50,,False,True,19.582,2,"LINESTRING (7.3828387 51.4857618, 7.3830877 51.4856783)",,,,,,
368617273,Steinsweg,secondary,50,,False,True,9.611,2,"LINESTRING (7.3828387 51.4857618, 7.3827172 51.4858036)",,,,,,
55970903,,footway,,,False,True,3.759,,"LINESTRING (7.3846251 51.485163, 7.3846519 51.4851924)",,,,,,
78836017,Steinsweg,secondary,50,,False,False,25.039,2,"LINESTRING (7.3846251 51.485163, 7.3845388 51.485196, 7.3844629 51.4852206, 7.3843075 51.4852704)",,,,,,
78836017,Steinsweg,secondary,50,,False,True,20.337,2,"LINESTRING (7.3846251 51.485163, 7.3847762 51.4850639, 7.3848218 51.4850274)",,,,,,
23494254,Ewald-Görshop-Straße,residential,30,,False,False,11.556,,"LINESTRING (7.3864295 51.4842426, 7.3864212 51.4843464)",,,,,,
28492452,Steinsweg,secondary,50,,False,True,9.98,2,"LINESTRING (7.3864295 51.4842426, 7.3865706 51.4842243)",,,,,,
33578122,Steinsweg,secondary,50,,False,False,13.512,2,"LINESTRING (7.3864295 51.4842426, 7.3862392 51.4842695)",,,,,,
72449249,Ewald-Görshop-Straße,residential,50,,False,True,11.72,2,"LINESTRING (7.3864295 51.4842426, 7.3864301 51.4841372)",,,,,,
60180332,,service,,,False,False,6.409,,"LINESTRING (7.3731161 51.4922695, 7.3731616 51.4922193)",parking_aisle,,,,,
"[316437980, 316437975]",Brennaborstraße,secondary,50,,True,False,53.702999999999996,3,"LINESTRING (7.3731161 51.4922695, 7.3733669 51.4923811, 7.3737525 51.4925456)",,L 649,,,,
4913524,Im Weißen Feld,residential,50,,False,False,12.592,2,"LINESTRING (7.3904482 51.4931697, 7.3905209 51.4930659)",,,,,,
428289955,Brennaborstraße,secondary,50,,False,False,13.44,3,"LINESTRING (7.3904482 51.4931697, 7.3906314 51.4932097)",,L 649,,,,
428289960,Brennaborstraße,secondary,50,,False,True,13.227,3,"LINESTRING (7.3904482 51.4931697, 7.3902661 51.4931337)",,L 649,,,,
933843776,Im Weißen Feld,residential,50,,False,False,15.304,,"LINESTRING (7.3904482 51.4931697, 7.39036 51.4932959)",,,,,,
23494253,Ewald-Görshop-Straße,residential,30,,False,True,8.409,,"LINESTRING (7.3851628 51.4894976, 7.3850919 51.4894362)",,,,,,
