y,x,street_count,elevation,highway,geometry
51.4857618,7.3828387,5,120.0,,POINT (7.3828387 51.4857618)
51.485163,7.3846251,3,127.0,,POINT (7.3846251 51.485163)
51.4842426,7.3864295,4,130.0,,POINT (7.3864295 51.4842426)
51.4922695,7.3731161,3,98.0,,POINT (7.3731161 51.4922695)
51.4931697,7.3904482,4,111.0,,POINT (7.3904482 51.4931697)
51.4894976,7.3851628,3,115.0,,POINT (7.3851628 51.4894976)
51.4881893,7.3851562,3,115.0,,POINT (7.3851562 51.4881893)
51.4775459,7.3827955,3,145.0,,POINT (7.3827955 51.4775459)
51.4872426,7.3833408,3,123.0,,POINT (7.3833408 51.4872426)
51.4881568,7.3841805,3,115.0,,POINT (7.3841805 51.4881568)
51.4885504,7.3847024,3,115.0,bus_stop,POINT (7.3847024 51.4885504)
51.4875391,7.3797652,5,112.0,,POINT (7.3797652 51.4875391)
51.4876327,7.3786724,4,113.0,,POINT (7.3786724 51.4876327)
51.4878891,7.3758674,3,111.0,,POINT (7.3758674 51.4878891)
51.4874741,7.3757911,3,116.0,,POINT (7.3757911 51.4874741)
51.4874851,7.3751325,3,116.0,,POINT (7.3751325 51.4874851)
51.4874915,7.3746304,3,111.0,,POINT (7.3746304 51.4874915)
51.4874951,7.3743515,3,111.0,,POINT (7.3743515 51.4874951)
51.4870015,7.3749623,3,111.0,,POINT (7.3749623 51.4870015)
51.4869453,7.3751372,3,116.0,,POINT (7.3751372 51.4869453)
51.4940465,7.3990181,4,108.0,crossing,POINT (7.3990181 51.4940465)
51.4875157,7.3770113,3,111.0,,POINT (7.3770113 51.4875157)
51.486746,7.3778527,3,118.0,,POINT (7.3778527 51.486746)
51.485004,7.3764351,3,127.0,,POINT (7.3764351 51.485004)
51.4844328,7.3761579,4,127.0,,POINT (7.3761579 51.4844328)
51.4878331,7.3770302,3,111.0,,POINT (7.3770302 51.4878331)
51.4851357,7.3756555,3,127.0,,POINT (7.3756555 51.4851357)
51.4846583,7.3780363,3,124.0,,POINT (7.3780363 51.4846583)
51.4846409,7.3794082,3,126.0,,POINT (7.3794082 51.4846409)
51.4856301,7.3812056,3,119.0,,POINT (7.3812056 51.4856301)
51.4864051,7.3790655,3,118.0,,POINT (7.3790655 51.4864051)
51.4860122,7.3801109,3,119.0,,POINT (7.3801109 51.4860122)
51.4861785,7.3816312,3,120.0,,POINT (7.3816312 51.4861785)
51.4811389,7.3788597,4,140.0,,POINT (7.3788597 51.4811389)
51.4810847,7.3800005,3,137.0,,POINT (7.3800005 51.4810847)
51.4810686,7.3803837,3,137.0,,POINT (7.3803837 51.4810686)
51.4809162,7.3840891,3,143.0,,POINT (7.3840891 51.4809162)
51.4809024,7.3845841,3,143.0,,POINT (7.3845841 51.4809024)
51.4837565,7.3774965,3,124.0,,POINT (7.3774965 51.4837565)
51.4837258,7.3789653,3,124.0,,POINT (7.3789653 51.4837258)
51.4837468,7.3806054,3,126.0,,POINT (7.3806054 51.4837468)
51.4837439,7.38211,4,125.0,,POINT (7.38211 51.4837439)
51.4836289,7.3830403,3,125.0,,POINT (7.3830403 51.4836289)
51.4836031,7.383372,3,127.0,,POINT (7.383372 51.4836031)
51.4835429,7.3844823,3,127.0,,POINT (7.3844823 51.4835429)
51.4835433,7.3850338,3,127.0,,POINT (7.3850338 51.4835433)
51.4834918,7.3821045,3,125.0,,POINT (7.3821045 51.4834918)
51.4834734,7.380601,3,126.0,,POINT (7.380601 51.4834734)
51.4815193,7.3804975,3,132.0,,POINT (7.3804975 51.4815193)
51.4821613,7.3820651,3,134.0,,POINT (7.3820651 51.4821613)
51.4814699,7.3819393,3,134.0,,POINT (7.3819393 51.4814699)
51.4842004,7.3846781,3,127.0,turning_circle,POINT (7.3846781 51.4842004)
51.4824037,7.3848697,3,137.0,,POINT (7.3848697 51.4824037)
51.4823685,7.3858363,3,139.0,,POINT (7.3858363 51.4823685)
51.4812887,7.385167,1,137.0,,POINT (7.385167 51.4812887)
51.4823821,7.386498,3,139.0,,POINT (7.386498 51.4823821)
51.4822405,7.3790614,3,130.0,,POINT (7.3790614 51.4822405)
51.4914651,7.3802864,4,108.0,,POINT (7.3802864 51.4914651)
51.489286,7.3800558,3,112.0,,POINT (7.3800558 51.489286)
51.4890268,7.3827952,3,112.0,,POINT (7.3827952 51.4890268)
51.4901894,7.3835256,3,111.0,,POINT (7.3835256 51.4901894)
51.4901291,7.3850412,3,111.0,,POINT (7.3850412 51.4901291)
51.4911014,7.3851441,3,111.0,,POINT (7.3851441 51.4911014)
51.4909809,7.3823836,3,109.0,,POINT (7.3823836 51.4909809)
51.4890076,7.3777106,3,113.0,,POINT (7.3777106 51.4890076)
51.4890822,7.3774145,3,113.0,,POINT (7.3774145 51.4890822)
51.495923,7.3839278,2,95.0,,POINT (7.3839278 51.495923)
51.4936072,7.3805453,4,107.0,,POINT (7.3805453 51.4936072)
51.4940317,7.3950343,4,110.0,,POINT (7.3950343 51.4940317)
51.4930588,7.3954036,4,115.0,,POINT (7.3954036 51.4930588)
51.4932188,7.396858,3,113.0,,POINT (7.396858 51.4932188)
51.4930397,7.3968826,3,113.0,,POINT (7.3968826 51.4930397)
51.4910184,7.3943096,3,120.0,,POINT (7.3943096 51.4910184)
51.4901002,7.393593,3,120.0,,POINT (7.393593 51.4901002)
51.4888309,7.379957,3,112.0,,POINT (7.379957 51.4888309)
51.4872571,7.3784146,3,118.0,,POINT (7.3784146 51.4872571)
51.4862823,7.3739831,3,111.0,,POINT (7.3739831 51.4862823)
51.4872418,7.3735377,3,111.0,,POINT (7.3735377 51.4872418)
51.4875234,7.373581,3,109.0,,POINT (7.373581 51.4875234)
51.4865988,7.3731487,3,111.0,,POINT (7.3731487 51.4865988)
51.4866325,7.3731356,3,111.0,,POINT (7.3731356 51.4866325)
51.4870686,7.374719,3,111.0,,POINT (7.374719 51.4870686)
51.4868736,7.3738721,1,111.0,,POINT (7.3738721 51.4868736)
51.4872088,7.3751258,3,116.0,,POINT (7.3751258 51.4872088)
51.4870034,7.3760666,3,116.0,,POINT (7.3760666 51.4870034)
51.4869543,7.3765977,3,116.0,,POINT (7.3765977 51.4869543)
51.4872029,7.3772618,3,118.0,,POINT (7.3772618 51.4872029)
51.4865792,7.3757908,4,116.0,,POINT (7.3757908 51.4865792)
51.4866717,7.3778342,3,118.0,,POINT (7.3778342 51.4866717)
51.4855962,7.3750897,3,116.0,,POINT (7.3750897 51.4855962)
51.4861423,7.3749098,3,111.0,,POINT (7.3749098 51.4861423)
51.4869207,7.3761303,3,116.0,,POINT (7.3761303 51.4869207)
51.4855714,7.3756952,3,116.0,,POINT (7.3756952 51.4855714)
51.4864137,7.3767476,3,116.0,,POINT (7.3767476 51.4864137)
51.4868022,7.3768159,3,116.0,,POINT (7.3768159 51.4868022)
51.4867189,7.3768092,3,116.0,,POINT (7.3768092 51.4867189)
51.4870888,7.3773962,3,118.0,,POINT (7.3773962 51.4870888)
51.4860188,7.3772965,3,118.0,,POINT (7.3772965 51.4860188)
51.4869077,7.3756568,3,116.0,,POINT (7.3756568 51.4869077)
51.4894492,7.399373,3,125.0,,POINT (7.399373 51.4894492)
51.4894525,7.3990456,3,125.0,,POINT (7.3990456 51.4894525)
51.489406,7.3993562,4,125.0,,POINT (7.3993562 51.489406)
51.4930823,7.3753826,4,100.0,,POINT (7.3753826 51.4930823)
51.4957289,7.373764,3,92.0,,POINT (7.373764 51.4957289)
51.493049,7.375248,4,100.0,,POINT (7.375248 51.493049)
51.4961006,7.3739335,3,92.0,,POINT (7.3739335 51.4961006)
51.4867502,7.3949894,3,128.0,,POINT (7.3949894 51.4867502)
51.4881064,7.4015104,3,131.0,,POINT (7.4015104 51.4881064)
51.4911725,7.4003433,4,122.0,,POINT (7.4003433 51.4911725)
51.4933296,7.3973036,3,113.0,,POINT (7.3973036 51.4933296)
51.4938626,7.3986717,3,108.0,,POINT (7.3986717 51.4938626)
51.4952457,7.3734844,3,92.0,,POINT (7.3734844 51.4952457)
51.4961466,7.3740609,4,92.0,,POINT (7.3740609 51.4961466)
51.4962208,7.3748614,4,92.0,,POINT (7.3748614 51.4962208)
51.4962962,7.3757248,3,96.0,,POINT (7.3757248 51.4962962)
51.4919518,7.3722616,3,97.0,,POINT (7.3722616 51.4919518)
51.4915576,7.3719065,4,101.0,,POINT (7.3719065 51.4915576)
51.4914219,7.3719445,4,101.0,crossing,POINT (7.3719445 51.4914219)
51.493167,7.3753393,4,100.0,,POINT (7.3753393 51.493167)
51.4931271,7.3751949,4,100.0,,POINT (7.3751949 51.4931271)
51.4929317,7.3745484,3,98.0,,POINT (7.3745484 51.4929317)
51.4917128,7.3718743,4,97.0,traffic_signals,POINT (7.3718743 51.4917128)
51.4916387,7.3717755,4,101.0,,POINT (7.3717755 51.4916387)
