c g $max_lat $min_lat $max_lon $min_lon $center_lat $center_lon
c p #nodes #edges
c n $id $lat $lon
c e $v_id $w_id $e_cost
c f intermediate nodes of edge
c g tags of edge
g 51.57313333333334 51.28146666666667 7.5305 7.093 0.1458333333333357 0.21875
p 4898 12546
n 160326 51.4717015 7.190975
n 164243 51.4825653 7.3985782
n 164248 51.4815096 7.3968049
n 164317 51.4932492 7.4058308
n 164502 51.4768002 7.3836864
n 403545 51.5138501 7.2110872
n 403620 51.505946 7.2122522
n 403656 51.501475 7.2121956
n 403662 51.5006341 7.2119427
n 403777 51.4893213 7.213813
n 472797 51.5198567 7.2273443
n 476409 51.5283593 7.2193488
n 476597 51.4814781 7.2129929
n 476635 51.4894551 7.2163444
n 476758 51.5323999 7.1555104
n 476767 51.5267129 7.1579844
n 477339 51.5310527 7.148667
n 477578 51.505471 7.2250789
n 477662 51.4478106 7.2661228
n 477740 51.5013745 7.2090102
n 477808 51.4929959 7.4017868
n 18013182 51.5333779 7.1615337
n 18040371 51.5450632 7.1490302
n 18338160 51.5181993 7.2055822
n 18338367 51.5139357 7.21049
n 18341835 51.5438729 7.2340363
n 18342163 51.5395683 7.2433547
n 18342169 51.5397034 7.2426041
n 18342177 51.5386335 7.2479928
n 18384460 51.5300361 7.2211543
n 18386148 51.5163972 7.2358509
n 19464698 51.5432299 7.2229058
n 19464702 51.5408108 7.2251665
n 19464705 51.5394476 7.2264923
n 19464707 51.5379022 7.2267644
n 20907976 51.4804404 7.1025698
n 21453973 51.4541285 7.1068948
n 21454090 51.4332656 7.1112165
n 21454128 51.4339952 7.0981823
n 21454176 51.4325597 7.1069339
n 21454184 51.4331229 7.1110008
n 21454271 51.4699637 7.0949092
n 21454776 51.4166941 7.1198137
n 21454805 51.4193349 7.137047
n 21454820 51.4229318 7.1463423
n 21656373 51.5209437 7.4702072
n 21656823 51.5700859 7.5041614
n 21694210 51.5172452 7.4712186
n 21694756 51.5486572 7.4623648
n 22370557 51.5548642 7.4469325
n 25073569 51.5725818 7.5078639
n 25269911 51.4403951 7.1342921
n 25269937 51.4739267 7.1399468
n 25269947 51.47314 7.1315165
n 25269981 51.4574645 7.1353232
